Name,Number_of_Episode,Network,Duration,Main_Genre,Sub_Genre,Rating,Watchers
Move to Heaven,10,Netflix,52,Life,Family,9.2,25582
Hospital Playlist,12,"tvN,  Netflix",90,Life,Friendship,9.1,50994
Flower of Evil,16,tvN ,70,Thriller,Romance,9.1,53052
My Mister,16,tvN ,77,Life,Psychological,9.1,40758
Prison Playbook,16,"tvN,  Netflix",92,Life,Comedy,9.1,44601
It's Okay to Not Be Okay,16,"tvN,  Netflix",75,Psychological,Romance,9,89510
Reply 1988,20,tvN ,100,Youth,Romance,9,58711
Signal,16,tvN ,75,Thriller,Mystery,9,53263
Navillera,12,"tvN,  Netflix",65,Life,Family,9,20244
Mr. Queen,20,tvN ,80,Historical,Comedy,9,35707
Mother,16,tvN ,63,Psychological,Mystery,9,21258
Vincenzo,20,"tvN,  Netflix",85,Law,Comedy,9,53914
SKY Castle,20,jTBC ,75,Psychological,Mystery,9,42970
Crash Landing on You,16,"tvN,  Netflix",85,Military,Romance,9,90973
Kingdom: Season 2,6,Netflix,45,Historical,Horror,8.9,23399
Healer,20,KBS2 ,60,Action,Romance,8.9,96388
Mr. Sunshine,24,"tvN,  Netflix",80,Historical,Romance,8.9,40607
Stranger,16,"tvN,  Netflix",70,Law,Crime,8.9,36261
Goblin,16,tvN ,82,Fantasy,Romance,8.9,136290
The Uncanny Counter,16,"OCN,  Netflix",70,Action,Mystery,8.8,35177
The Penthouse 2,13,SBS ,75,Thriller,Crime,8.8,16466
Life on Mars,16,OCN ,65,Action,Mystery,8.8,19641
Weightlifting Fairy Kim Bok Joo,16,MBC ,60,Romance,Comedy,8.8,113333
Kingdom,6,Netflix,51,Historical,Horror,8.8,37835
The Penthouse,21,SBS ,85,Thriller,Crime,8.8,25770
Sweet Home,10,Netflix,52,Action,Horror,8.8,39402
Beyond Evil,16,jTBC ,70,Thriller,Psychological,8.8,20721
18 Again,16,jTBC ,70,Fantasy,Romance,8.8,30682
The Guest,16,OCN ,67,Thriller,Horror,8.8,20768
Taxi Driver,16,SBS ,65,Action,Crime,8.8,18604
Six Flying Dragons,50,SBS ,60,Historical,Action,8.8,18446
Chicago Typewriter,16,tvN ,70,Mystery,Romance,8.8,42249
Defendant,18,SBS ,70,Thriller,Law,8.8,22238
While You Were Sleeping,32,SBS ,30,Fantasy,Romance,8.7,96757
"Kill Me, Heal Me",20,MBC ,62,Psychological,Romance,8.7,80173
Dear My Friends,16,tvN ,70,Life,Friendship,8.7,9235
Youth of May,12,KBS2 ,70,Youth,Romance,8.7,19870
Dr. Romantic 2,16,SBS ,70,Medical ,Romance,8.7,26999
Arthdal Chronicles Part 2,6,"tvN,  Netflix",81,Fantasy,Historical,8.7,15375
Misaeng,20,tvN ,80,Life,Business,8.7,23697
Law School,16,"jTBC,  Netflix",65,Law,Crime,8.7,20753
Mouse,20,tvN ,75,Thriller,Crime,8.7,22207
The Fiery Priest,40,SBS ,35,Action,Crime,8.7,16562
Descendants of the Sun,16,KBS2 ,60,Military,Romance,8.7,117635
Hotel del Luna,16,tvN ,80,Fantasy,Romance,8.7,85005
Dr. Romantic,20,SBS ,60,Medical ,Romance,8.7,38041
Arthdal Chronicles Part 3,6,"tvN,  Netflix",80,Fantasy,Historical,8.7,13368
Tunnel,16,OCN ,60,Mystery,Fantasy,8.7,29315
Live,18,"tvN,  Netflix",75,Friendship,Crime,8.7,15755
Strong Woman Do Bong Soon,16,jTBC ,67,Romance,Comedy,8.7,125606